"id","title","description","created_at","temp"
"1","Director","","2023-04-05T20:21:21.000Z",""
"2","SPDR Estimating","","2023-04-05T20:21:21.000Z",""
"3","General RND GMC","","2023-04-05T20:21:21.000Z",""
"4","Tender","","2023-04-05T20:21:21.000Z",""
"5","Administration","","2023-04-05T20:21:21.000Z",""
"6","Accounts","","2023-04-05T20:21:21.000Z",""
"7","PA","","2023-04-05T20:21:21.000Z",""
"8","HR","","2023-04-05T20:21:21.000Z",""
"14","TMA Estimating","","2023-06-14T08:19:31.000Z",""
"15","Architect","","2023-06-14T08:23:26.000Z",""
"16","Director Assistant","","2023-06-14T08:23:42.000Z",""
"20","Project Sales","","2023-07-04T15:22:06.000Z",""
"21","Content Creator Intern","","2023-07-04T15:46:10.000Z",""
"22","Finance","","2023-08-10T08:27:57.000Z",""
"23","IT Support","","2023-11-22T01:09:37.000Z",""
"24","Business Development Manager","","2024-03-19T02:04:55.000Z",""
"27","TMA Administration","","2024-04-04T09:03:54.000Z",""
"28","Drafting","","2024-12-18T02:27:44.000Z",""
"29","Operations and Solutions","","2025-03-06T10:58:27.000Z",""